None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,UAL,MRY,2019-12-31,2019-12-31,2019-12-31,2020-02-25,-718000000,52611000000,51899750000.0,8194000000,44417000000,0.834,45.569,-4528000000,5050000000,5050000000,16427000000,3009000000,0.549,3.563,20450000000,2139000000,18311000000,20450000000,5276000000,2288000000,0,0.0,0.0,4645000000,6933000000,0.16,6933000000,4645000000,3914000000,11.63,11.58,11.63,11531000000,10738500000.0,11531000000,37204615129,8,5.366,2381000000,9.409,1.0,26832000000,0.62,7532000000,731000000,45541000000,43983750000.0,1072000000,1851000000,0,1851000000,41080000000,14938000000,26142000000,22290615129,1069000000,-210000000,-1645000000,456000000,0,-1280000000,-4560000000,99000000,6909000000,0,3009000000,3009000000,3009000000,0,0,0.07,22531000000,4301000000,2703000000,0.0,1.933,7.408,7.574,34928000000,0,88.09,0.515,0.515,1364000000,9716000000,43259000000,43259000000,0,0.058,0.28,0.106,0.107,0,13722000000,1.0,253043650,253043650,,170.955,45079000000,0,905000000,1736000000,178.147,-6744000000
1,UAL,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-25,-803000000,49024000000,45642500000.0,7094000000,41930000000,0.905,36.856,-4070000000,4055000000,4055000000,16605000000,2122000000,0.513,3.882,19787000000,2072000000,17715000000,19787000000,5005000000,2165000000,0,0.0,0.0,3318000000,5483000000,0.133,5483000000,3318000000,2648000000,7.7,7.67,7.7,10042000000,9121500000.0,10042000000,32153445217,10,5.864,2094000000,7.685,1.0,24698000000,0.598,7682000000,670000000,43235000000,35005750000.0,985000000,1482000000,0,1482000000,38982000000,13839000000,25143000000,22813445217,208000000,-605000000,-1235000000,-212000000,0,-1501000000,-4455000000,64000000,6164000000,0,2122000000,2122000000,2122000000,0,0,0.051,21469000000,3229000000,2363000000,0.0,2.272,10.751,10.874,32661000000,0,83.73,0.552,0.552,1426000000,6715000000,41303000000,41303000000,0,0.046,0.233,0.095,0.08,0,13016000000,1.0,272464412,272464412,,151.59,41342000000,0,526000000,828000000,151.734,-6745000000
2,UAL,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-25,-1147000000,42346000000,42165750000.0,7133000000,35213000000,0.896,29.482,-3870000000,3889000000,3889000000,13968000000,2143000000,0.559,3.848,14392000000,1693000000,12699000000,14392000000,4783000000,2096000000,0,0.0,0.0,3649000000,5745000000,0.152,5745000000,3649000000,3023000000,7.08,7.06,7.08,8734000000,8751750000.0,8734000000,29486414119,8,5.133,-396000000,-1.337,1.0,23816000000,0.63,8062000000,626000000,32024000000,30229500000.0,924000000,852000000,0,852000000,33612000000,12763000000,20849000000,19967414119,-712000000,-32000000,-1844000000,1552000000,0,-383000000,-3803000000,-64000000,3474000000,0,2143000000,2143000000,2143000000,0,0,0.057,20198000000,3618000000,2196000000,0.0,2.286,9.318,9.52,26208000000,0,67.4,0.528,0.528,1340000000,4549000000,37784000000,37784000000,0,0.051,0.245,0.121,0.097,0,12376000000,1.0,296252435,296252435,,127.54,34284000000,0,880000000,204000000,115.726,-5630000000
3,UAL,MRY,2016-12-31,2016-12-31,2016-12-31,2020-02-25,-829000000,40140000000,40329000000.0,7309000000,32831000000,0.906,27.291,-3223000000,4552000000,4552000000,12604000000,2234000000,0.595,3.636,11705000000,965000000,10740000000,11705000000,4883000000,1977000000,0,0.0,0.0,4447000000,6424000000,0.176,6424000000,4447000000,3773000000,6.77,6.76,6.77,8659000000,8180500000.0,8659000000,29601773289,7,4.608,2319000000,7.309,1.0,23954000000,0.655,8155000000,674000000,26852000000,25739250000.0,873000000,579000000,0,579000000,31481000000,12286000000,19195000000,23123773289,-909000000,-70000000,-2614000000,-543000000,0,-3213000000,-3238000000,-56000000,5542000000,0,2234000000,2234000000,2234000000,0,0,0.061,19610000000,4344000000,2139000000,0.0,2.67,10.351,10.765,23318000000,0,72.88,0.633,0.633,1176000000,3427000000,36558000000,36558000000,0,0.055,0.273,0.173,0.122,0,11571000000,1.0,317285583,317285583,,115.221,31985000000,655000000,1539000000,0,100.808,-4977000000
4,UAL,MRY,2015-12-31,2015-12-31,2015-12-31,2020-02-25,-831000000,40861000000,40297000000.0,7828000000,33033000000,0.94,24.05,-2661000000,5400000000,5400000000,14420000000,7340000000,0.631,3.557,11759000000,1359000000,10400000000,11759000000,4943000000,1819000000,0,0.0,0.0,4888000000,6707000000,0.177,6707000000,4888000000,4219000000,19.52,19.47,19.52,8966000000,6162750000.0,8966000000,27678028242,6,4.127,3331000000,8.935,1.0,23444000000,0.619,8659000000,669000000,26147000000,24537750000.0,738000000,0,0,0,31895000000,12414000000,19481000000,21362028242,890000000,0,-1217000000,-1228000000,0,-2495000000,-2607000000,190000000,5992000000,0,7340000000,7340000000,7340000000,0,0,0.194,18278000000,5166000000,1869000000,0.0,2.383,2.91,2.935,21580000000,0,57.3,0.564,0.564,1128000000,3457000000,37864000000,37864000000,0,0.182,1.191,0.199,0.129,0,11055000000,1.0,372810266,372810266,,101.564,32202000000,2037000000,-3121000000,0,86.376,-4586000000
5,UAL,MRT,2019-12-31,2019-12-31,2019-12-31,2020-02-25,-718000000,52611000000,51899750000.0,8194000000,44417000000,0.834,45.569,-4528000000,5050000000,5050000000,16427000000,3009000000,0.549,3.563,20450000000,2139000000,18311000000,20450000000,5276000000,2288000000,0,0.0,0.0,4645000000,6933000000,0.16,6933000000,4645000000,3914000000,11.63,11.58,11.63,11531000000,10738500000.0,11531000000,37204615129,8,5.366,2381000000,9.409,1.0,26832000000,0.62,7532000000,731000000,45541000000,43983750000.0,1072000000,1851000000,0,1851000000,41080000000,14938000000,26142000000,22290615129,1069000000,-210000000,-1645000000,456000000,0,-1280000000,-4560000000,99000000,6909000000,0,3009000000,3009000000,3009000000,0,0,0.07,22531000000,4301000000,2703000000,0.0,1.933,7.408,7.574,34928000000,0,88.09,0.515,0.515,1364000000,9716000000,43259000000,43259000000,0,0.058,0.28,0.106,0.107,0,13722000000,1.0,253043650,253043650,,170.955,45079000000,0,905000000,1736000000,178.147,-6744000000
6,UAL,MRT,2019-09-30,2019-09-30,2019-09-30,2020-02-25,-504000000,52199000000,51003000000.0,8533000000,43666000000,0.84,43.986,-4893000000,5226000000,5226000000,16430000000,2829000000,0.544,3.619,20140000000,2113000000,18027000000,20140000000,5219000000,2165000000,0,0.0,0.0,4366000000,6531000000,0.152,6531000000,4366000000,3623000000,10.83,10.79,10.83,11301000000,10366250000.0,11301000000,37348427074,9,5.719,1964000000,7.644,1.0,26432000000,0.617,7637000000,743000000,43785000000,43407250000.0,1065000000,1660000000,0,1660000000,40898000000,15691000000,25207000000,22714427074,337000000,-502000000,-1656000000,401000000,0,-1341000000,-5179000000,174000000,6857000000,0,2829000000,2829000000,2829000000,0,0,0.066,22357000000,4075000000,2848000000,0.0,2.01,8.029,8.163,34269000000,0,88.41,0.53,0.53,1617000000,9075000000,42862000000,42862000000,0,0.055,0.273,0.101,0.102,0,13547000000,1.0,256921469,256921469,,166.829,44562000000,0,794000000,1594000000,173.446,-7158000000
7,UAL,MRT,2019-06-30,2019-06-30,2019-06-30,2020-02-25,-807000000,52150000000,49162500000.0,8910000000,43240000000,0.864,39.22,-4866000000,5549000000,5549000000,16641000000,2638000000,0.554,4.053,20183000000,2009000000,18174000000,20183000000,5198000000,2165000000,0,0.0,0.0,4056000000,6221000000,0.146,6221000000,4056000000,3332000000,9.88,9.85,9.88,10320000000,9908250000.0,10320000000,38954978707,10,6.262,1771000000,6.731,1.0,25844000000,0.608,7652000000,724000000,43054000000,40608000000.0,996000000,1657000000,0,1657000000,41830000000,16078000000,25752000000,23036978707,335000000,-483000000,-1328000000,336000000,0,-1064000000,-5238000000,-24000000,6637000000,0,2638000000,2638000000,2638000000,0,0,0.062,22055000000,3789000000,3033000000,0.0,2.232,8.733,8.861,33826000000,0,87.55,0.542,0.542,1762000000,8050000000,42485000000,42485000000,0,0.054,0.266,0.1,0.095,0,13409000000,1.0,263129397,263129397,,161.46,44498000000,0,694000000,1192000000,169.111,-7168000000
8,UAL,MRT,2019-03-31,2019-03-31,2019-03-31,2020-02-25,-793000000,50639000000,47297750000.0,7608000000,43031000000,0.885,36.749,-4735000000,4170000000,4170000000,16652000000,2269000000,0.496,4.166,20088000000,1973000000,18115000000,20088000000,5138000000,2165000000,0,0.0,0.0,3529000000,5694000000,0.136,5694000000,3529000000,2833000000,8.33,8.31,8.33,9802000000,9488000000.0,9802000000,31952526093,9,5.612,1635000000,6.13,1.0,25208000000,0.602,7667000000,696000000,43555000000,37848250000.0,972000000,1610000000,0,1610000000,40837000000,15335000000,25502000000,21279526093,-559000000,-622000000,-1219000000,-302000000,0,-1589000000,-5340000000,-136000000,6370000000,0,2269000000,2269000000,2269000000,0,0,0.054,21746000000,3462000000,2707000000,0.0,2.171,9.378,9.577,33651000000,0,79.78,0.508,0.508,1789000000,6999000000,41860000000,41860000000,0,0.048,0.239,0.093,0.084,0,13181000000,1.0,266727577,266727577,,156.939,42972000000,0,564000000,898000000,161.108,-7727000000
9,UAL,MRT,2018-12-31,2018-12-31,2018-12-31,2020-02-25,-803000000,49024000000,45642500000.0,7094000000,41930000000,0.905,36.856,-4070000000,4055000000,4055000000,16605000000,2122000000,0.513,3.882,19787000000,2072000000,17715000000,19787000000,5005000000,2165000000,0,0.0,0.0,3318000000,5483000000,0.133,5483000000,3318000000,2648000000,7.7,7.67,7.7,10042000000,9121500000.0,10042000000,32153445217,10,5.864,2094000000,7.685,1.0,24698000000,0.598,7682000000,670000000,43235000000,35005750000.0,985000000,1482000000,0,1482000000,38982000000,13839000000,25143000000,22813445217,208000000,-605000000,-1235000000,-212000000,0,-1501000000,-4455000000,64000000,6164000000,0,2122000000,2122000000,2122000000,0,0,0.051,21469000000,3229000000,2363000000,0.0,2.272,10.751,10.874,32661000000,0,83.73,0.552,0.552,1426000000,6715000000,41303000000,41303000000,0,0.046,0.233,0.095,0.08,0,13016000000,1.0,272464412,272464412,,151.59,41342000000,0,526000000,828000000,151.734,-6745000000
